ID,Target
ID00qprY_boil,0
ID00qprY_pan,0
ID01AciUc_boil,0
ID01AciUc_pan,0
ID0328D_boil,0
ID0328D_pan,0
ID05WxObCFTs9_boil,0
ID05WxObCFTs9_pan,0
ID06AdCmLMlkO_boil,0
ID06AdCmLMlkO_pan,0
ID0BTVyh4_boil,0
ID0BTVyh4_pan,0
ID0FBDllOkNS3A_boil,0
ID0FBDllOkNS3A_pan,0
ID0FjL0VeJuPBW_boil,0
ID0FjL0VeJuPBW_pan,0
ID0HlRCFE5wCBkWP_boil,0
ID0HlRCFE5wCBkWP_pan,0
ID0IovKJW_boil,0
ID0IovKJW_pan,0
ID0LpXkRA81X_boil,0
ID0LpXkRA81X_pan,0
ID0M63kKZ55_boil,0
ID0M63kKZ55_pan,0
ID0QsFWsyFqZdx_boil,0
ID0QsFWsyFqZdx_pan,0
ID0SfCD_boil,0
ID0SfCD_pan,0
ID0akoJsfedXprL_boil,0
ID0akoJsfedXprL_pan,0
ID0dJJPCYanXEalJ_boil,0
ID0dJJPCYanXEalJ_pan,0
ID0dfmojB_boil,0
ID0dfmojB_pan,0
ID0e6159wkv90z_boil,0
ID0e6159wkv90z_pan,0
ID0kB33brV_boil,0
ID0kB33brV_pan,0
ID0maWjURTmcAjqi_boil,0
ID0maWjURTmcAjqi_pan,0
ID0pTyIRodXkgwhM_boil,0
ID0pTyIRodXkgwhM_pan,0
ID0vKQKW_boil,0
ID0vKQKW_pan,0
ID0yctFiI9JXoazy_boil,0
ID0yctFiI9JXoazy_pan,0
ID149tZzT8_boil,0
ID149tZzT8_pan,0
ID1AfoHXF_boil,0
ID1AfoHXF_pan,0
ID1KYfDfr0L_boil,0
ID1KYfDfr0L_pan,0
ID1LA6Rx8qCyZcTO_boil,0
ID1LA6Rx8qCyZcTO_pan,0
ID1TOo3_boil,0
ID1TOo3_pan,0
ID1UlsomrqgKDofZC_boil,0
ID1UlsomrqgKDofZC_pan,0
ID1eo7z_boil,0
ID1eo7z_pan,0
ID1jkyzBoflp4_boil,0
ID1jkyzBoflp4_pan,0
ID1k2a9nf_boil,0
ID1k2a9nf_pan,0
ID1kuxucbsbCX_boil,0
ID1kuxucbsbCX_pan,0
ID1lAVUHzhMkn1P_boil,0
ID1lAVUHzhMkn1P_pan,0
ID1notv9fSD_boil,0
ID1notv9fSD_pan,0
ID1qhxezGRD_boil,0
ID1qhxezGRD_pan,0
ID1qlZeCi_boil,0
ID1qlZeCi_pan,0
ID1skciQI3zi_boil,0
ID1skciQI3zi_pan,0
ID1uweyu0Fyd8eq_boil,0
ID1uweyu0Fyd8eq_pan,0
ID1wP4IBH_boil,0
ID1wP4IBH_pan,0
ID1xuupS_boil,0
ID1xuupS_pan,0
ID21UQAbBk8nQG_boil,0
